㨢	nang3
㨤	kwaai5
㨥	nap6
㨦	sung2
㨧	bun2
㨨	cau1
㨩	zit6
㨪	fong2
㨫	lam4
㨭	wu6
㨮	dau1
㨯	gwok3
㨰	gwaan2
㨱	ziu4
㨲	caak3
㨳	gwaai2
㨴	gin3
㨵	zin2
㨶	dou2
㨷	gaam3
㨸	bei3
㨹	wai6
㨺	min5
㨻	cam3
㨼	loek6
㨽	baat6
㨾	zoeng6
㨿	gei1
㩀	goeng3
㩁	kok3
㩄	saai1
㩅	cau1
㩆	zaau6
㩇	waak6
㩈	kwaan1
㩉	lai1
㩊	syun1
㩋	suk1
㩌	faai3
㩍	caak3
㩎	zip3
㩒	gam6
㩓	wai2
㩔	tyun4
㩕	ling1
㩖	koeng4
㩗	kwai4
㩘	hei1
㩙	nim2
㩚	mung4
㩛	faa1
㩜	gaam3
㩝	hou4
㩞	caak3
㩟	zaai6
㩠	ou1
㩡	lo2
㩢	maai4
㩣	buk1
㩤	fu1
㩥	cam2
㩦	kwai4
㩧	bok6
㩨	wai6
㩩	king2
㩪	kit3
㩬	hei1
㩭	gaau2
㩮	kin4
㩯	pun4
㩰	ziu2
㩱	zoek3
㩲	fun1
㩳	sung2
㩴	guk6
㩵	ngok6
㩶	nip6
㩸	dip6
㩹	dip6
㩺	pei1
㩻	hai2
㩼	zi1
㩽	cik1
㩾	zeoi1
㩿	gwaat6
㪀	zyu1
㪁	kam4
㪂	faat1
㪃	ho1
㪄	faat1
㪅	gaang1
㪆	dai2
㪇	sin3
㪈	gwai3
㪉	hap6
㪊	kwan4
㪋	hon6
㪌	tong2
㪍	but6
㪎	sim2
㪏	bei2
㪐	luk6
㪑	zip6
㪒	ngaai4
㪓	cai4
㪔	saan3
㪕	diu6
㪖	luk6
㪗	tau2
㪘	lim5
㪙	fo2
㪚	san3
㪛	zaam1
㪜	ceoi2
㪝	lin6
㪞	mou6
㪟	deon1
㪠	him3
㪡	hot3
㪢	saau2
㪣	hau1
㪤	baat1
㪥	zaa1
㪦	zaan5
㪧	kaap1
㪨	saam1
㪩	duk6
㪪	saa1
㪫	zeoi6
㪬	coek3
㪭	lou4
㪮	ling4
㪯	geoi2
㪰	zaai1
㪱	kut3
㪴	gat3
㪵	bun3
㪶	huk6
㪷	dau2
㪸	caam2
㪹	laau2
㪻	gyun3
㪼	ho2
㪽	so2
㪾	lok3
㪿	zit3
㫀	ding2
㫁	dyun6
㫂	zyu3
㫃	zin2
㫄	pong4
㫅	kei4
㫊	zi2
㫋	zin1
㫍	zaau4
㫎	fai1
㫏	miu5
㫐	miu5
㫑	si4
㫒	gung1
㫓	hei3
㫔	gan3
㫕	gwong1
㫗	hau5
㫘	mat6
㫙	fu4
㫚	fat1
㫛	gwong2
㫜	taan2
㫝	dai1
㫞	tou1
㫟	zyun4
㫠	bun3
㫡	dung1
㫢	heoi3
㫤	cong2
㫥	ming4
㫦	tou1
㫧	bok3
㫨	on1
㫩	ceon1
㫪	zung1
㫫	hin2
㫯	mou6
㫰	long5
㫱	nan5
㫲	but6
㫳	san4
㫴	hau1
㫵	fei1
㫶	zau2
㫷	gei1
㫸	cip3
㫹	cuk1
㫺	sik1
㫻	kwaan3
㫼	zaai3
㫽	luk6
㬁	caap3
㬂	zyu4
㬃	toi4
㬄	maa6
㬅	maan6
㬆	man5
㬇	wun6
㬈	wan1
㬉	hyun1
㬊	wun6
㬋	hau4
㬌	ging2
㬍	bok3
㬎	hin2
㬏	lik6
㬐	zeon3
㬒	mong5
㬓	pau1
㬔	hou4
㬕	zoeng4
㬗	zin2
㬘	suk1
㬙	wai5
㬚	cit3
㬛	kap1
㬜	zeon3
㬝	cang4
㬞	hot3
㬠	sai3
㬡	ling4
㬢	fui1
㬣	deoi3
㬤	zaap1
㬥	buk6
㬧	bok3
㬩	waai6
㬪	dip6
